	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
g1112	3406.706418871387	-0.22078669950459967	0.0942628818462172	-2.3422443190819964	0.01916816247692101	0.07234718414319949
g1113	386.3900693678832	0.04829352028590918	0.1949518265144829	0.24772027607713373	0.8043508427062369	0.8904470472774323
g1114	469.39002108673503	-0.17535459785522792	0.1573245717367681	-1.1146040057151865	0.26502015303914184	0.45516427557905387
g1115	679.3755186297998	-0.20535669941004997	0.128152529888583	-1.6024396833101069	0.10905841547409581	0.2443296845191167
g1116	761.7054460521836	-0.0194016233063737	0.11230136023015114	-0.17276392081638092	0.8628369975598946	0.9277156553086306
g1117	3096.558995157011	-0.14047474666189524	0.1257386891665805	-1.1171958892922145	0.2639105778486641	0.454084973281088
g1118	1004.2446393739759	0.04520457500785169	0.11712816984745764	0.3859411025266087	0.6995402889990489	0.8246890863988902
g1119	3042.6952615446457	-0.652028085521884	0.11554697571493971	-5.642969722811876	1.671417485383596e-08	8.76333473239316e-07
g112	185.56304687064718	0.3781075906040616	0.2175581174628331	1.7379613089760086	0.0822176315145096	0.2010043142806578
g1120	560.9481943880568	-0.24701881153260336	0.15368227373742635	-1.607334440890997	0.10798102301703201	0.2426950185971583
g1121	695.7657390411053	-0.18059566300156987	0.1231510364701262	-1.4664567037190832	0.14252390818540833	0.29364015607603033
g1122	282.84118379632247	-0.13048905323703025	0.1913942349531897	-0.6817815242394561	0.4953771086211224	0.6731636375251033
g1123	122.06745714815308	-0.24969569456833177	0.23494619710210582	-1.0627781919782082	0.2878825515400705	0.4756046529819545
g1124	2065.336048579428	-0.6290479381309041	0.11313201017271843	-5.560300194176146	2.6931101448311018e-08	1.3033962559919755e-06
g1125	456.9363956834729	-0.27758595074002596	0.15622345885495956	-1.7768519067148638	0.07559260898395335	0.18969405597688152
g1126	1416.0174858794846	-0.471363855299121	0.11910195156606926	-3.9576501400788717	7.569071129652122e-05	0.0010278145149077973
g1127	544.3920414924215	-0.4205386885623409	0.1440810273064904	-2.9187652005545974	0.003514208114297676	0.020650906434815614
g1128	328.063095713669	-0.5119541219311454	0.15519390511443804	-3.2988030139046813	0.0009709802212321817	0.007733017584707777
g1129	19.064654771674228	-0.04419325175788589	0.5827628524995603	-0.07583402333956973	0.9395511473398168	0.9678874575632105
g113	3574.111024714797	0.021688521797425572	0.09388889608721841	0.23100198959925938	0.8173132563538712	0.9000459576242309
g1130	22836.095878081745	-0.24550565917631656	0.09438728709238332	-2.6010458266061116	0.00929400378307502	0.04283866212589524
g1131	1031.724988958776	0.3645138282986906	0.1389005342340716	2.624279527135737	0.00868324892831009	0.04082100212250384
g1132	594.5566981915352	-0.04408291343494766	0.13347725200136495	-0.33026536562572373	0.7411994602743605	0.8494088449989844
g1133	2229.613104874192	-0.36943770180373336	0.10631638130834216	-3.4748897324889034	0.000511063381471917	0.004537350885228539
g1134	4328.388169893451	0.543430014335291	0.15142172960084316	3.588850924948523	0.0003321386885329842	0.003278963260654796
g1135	4404.335391181811	0.7145551245948298	0.35361677956768106	2.020704802154521	0.043310332436794094	0.12921037052799125
g1136	5330.855139943971	0.203109738224438	0.1051269217853063	1.932043046397149	0.053354193000699594	0.15041977488994845
g1137	339.1908838405181	0.675467972219368	0.16121584013163473	4.189836257205497	2.7915582351753825e-05	0.0004621987867450469
g1138	555.7130287045234	0.44421481497178233	0.1688625299343207	2.630629868832122	0.008522679989953718	0.04031718917553294
g1139	71.94016150361827	1.163406793539858	0.340929876076763	3.4124518711229284	0.0006438129453807496	0.0054862164081542425
g114	350.50314373228497	-0.16717132066795798	0.15423570164433742	-1.0838691618458722	0.2784228144816443	0.46838062596622426
g1140	1860.1210608193394	0.5592543704175924	0.14861724559511966	3.763051644364195	0.00016785252176177665	0.0019201311201536573
g1141	2202.5529190623142	0.665172698274579	0.1930450903218377	3.445685653883388	0.0005696125424861305	0.004971396919854019
g1142	1401.2209492818276	0.2912676462912092	0.17047765196473286	1.7085385851716475	0.087536453200637	0.20941071662383057
g1143	391.06430955783316	0.17441945483321541	0.2406674799927699	0.7247321276578592	0.4686163813247668	0.6508560851732872
g1144	192.49242941077753	1.4966726623583666	0.32117893454557905	4.659934078416252	3.163106703435895e-06	7.462954878419065e-05
g1145	4180.219071259675	-0.25961124698381877	0.16152868514995997	-1.6072145126594757	0.1080073195346294	0.2426950185971583
g1146	1810.9517560782342	0.2695815038785087	0.0942005926669911	2.8617813990991263	0.004212673528649824	0.023735585926347887
g1147	732.9954446506471	-0.2802318884761109	0.17906390684769039	-1.5649825439946021	0.11758700237298345	0.25682670648019107
