	Merozoite_1	Merozoite_2	Merozoite_3	IntraEri_1	IntraEri_2	IntraEri_3
g1171	1200.8089217287834	1403.8885064005103	1335.1583394458623	1151.5889385221246	1078.084650718123	1094.3630674113704
g1172	254.05544129137894	373.5116209689431	479.3005866016799	297.8247254798598	315.53697094188965	291.8817661224525
g1173	1720.8286531220747	2770.7478434808236	4406.832320528856	1993.4401625451949	1843.9191739416676	1849.8103705784342
g1174	2572.311343075212	3128.159825614898	3546.419440673676	3065.6091742726903	3056.764405999556	3176.0529842860237
g1175	2211.0762624890326	3796.2948372619303	6471.317106957846	2646.6690604310206	2369.814125511484	2521.4481215365977
g1176	2574.2961512103006	3038.0018481396364	3411.7901312375125	3027.8847090452414	2935.1511984490357	2980.3683254333714
g1177	1431.0466653990954	2627.461057850496	4077.3448000666667	1679.7314517064092	1462.6453340535509	1626.2537128387576
g1178	1460.818787425429	2567.892394161484	4001.426016550033	1622.152004780303	1502.0874554212871	1616.5759354474294
g1179	2097.942198788965	2397.2362225118804	2797.860235199669	2356.786327630624	2356.666751722238	2388.862571275404
g118	504.1412663125801	454.00981514328424	414.01043277737506	686.9823667735433	578.4844467267976	631.765308105892
g1180	1673.193257879941	2603.311599598194	3413.8146321312893	2045.0631149617038	1949.0981642556308	1788.0661508217618
g1181	420.7793246388464	518.4083704827572	483.85571361267796	395.11413580328065	289.2422233633988	335.238208835602
g1182	460.47548734062434	325.2127044643384	273.30762065988085	367.3171614251604	399.35147884832907	412.0797613227463
g1183	1083.7052417585382	1329.8301677601164	1022.372951357332	1240.9363561660825	1166.8294237955295	1152.236176211512
g1184	1034.0850383813158	784.0524112580831	786.5185972323237	1054.2995281987037	1084.6583376127455	952.0997397588488
g1185	714.5309286320033	750.2431697048598	641.7667833272758	955.0246197054171	839.78850078805	845.2570773585877
g1186	1145.2342939462942	1125.3647545572896	988.9686866100133	1066.212517217898	1083.01491588909	1180.4952861941897
g1187	589.4880161214027	788.8823029085436	1096.2672339801886	686.9823667735433	734.6095104740868	735.5110817409281
g1188	502.1564581774912	444.3500318423633	380.60616803005627	651.2433997159601	571.910759832175	600.6028649058159
g1189	813.7713353864482	835.5712555296615	821.9473628734195	688.967864943409	811.8503314859036	823.9659670976661
g119	2246.8028089206327	2294.1985339687235	2005.2681352860147	2646.6690604310206	2647.5523968092925	2464.3492349277626
g1190	772.0903645495813	1181.7134904793286	1030.4709549324396	988.7780885931345	874.3003569848192	849.9024105064251
g1191	1236.5354681603835	1102.8252601884742	1127.6469978337307	1038.4155428397778	1196.4110148213315	1140.816398889745
g1192	295.73641212824583	264.0340768918391	236.86660457189674	275.98424561133675	287.59880163974316	288.591321809401
g1193	2028.4739140608538	2046.264095911753	1640.8579744061735	1346.1677591689663	1207.9149668869213	1322.7586138467113
g1194	166.72388334746742	162.6063522321692	138.67831122371732	75.44893045489782	55.876338604292954	78.0028857741037
g1195	1306.003752888495	1287.9711067894589	1125.6224969399536	1268.7333305442028	1178.333375861119	1236.239283968239
g1196	186.57196469835642	215.73516038723437	176.13157775858988	204.50631149617038	147.90795512901076	172.457993113465
g1197	1268.2923983218059	1175.2736349453812	1432.8405075705975	829.938235003876	859.5095614719181	887.4521867847778
g1198	561.7007022301582	500.69876776440213	919.6295309981547	544.0264985432106	542.3291688063728	506.1477575664545
g12	81.37713353864481	101.42772465966989	111.85367438117346	79.41992679462928	106.82241203761889	87.29355206977858
g120	1020.1913814356936	954.7085829076864	1005.1646937602285	1088.052997086421	1097.805711401991	1052.1679579851805
g1200	1260.3531657814503	1407.108434167484	2004.255884839126	1248.8783488455454	1117.5267720858592	1105.3957336374845
g1201	698.6524635512922	803.371977859925	768.2980891883317	913.3291581382367	795.4161142493468	899.8397418456776
g1202	1224.62661934985	1368.4693009638002	1520.4001712264483	1407.718202434804	1413.3426823438806	1332.0492801423861
g1203	119.08848810533388	170.6561716496033	246.98910904078122	107.21690117274953	98.60530341934052	110.90732890461891
g1204	692.6980391460254	832.3513277626878	914.0621535402681	893.4741764395794	890.734574221376	829.1919668889832
g1205	547.8070452845359	616.6161673754534	795.6288512543198	498.3600406362987	539.0423253590615	537.5037563143572
g1206	791.9384459004704	908.0196302865685	701.4895596936942	802.1412606257558	780.6253187364457	800.1586347149993
g1207	3868.391055288262	3640.128340563708	3716.9836409743793	3901.5039037861634	3804.521290262888	3889.498733574724
g1208	138.93656945622286	214.12519650374756	183.217330886809	176.70933711805014	131.473737892454	143.23110539165444
g1209	41.680970836866855	70.83841087342024	92.11479066684873	53.608450586374765	41.08554309139188	59.615108730580495
g121	488.26280123186893	515.1884427157836	549.651992660427	434.8240992005953	470.0186129655231	485.243758401186
g1210	962.6319455181156	1028.7669215480803	935.3194129249256	911.343659968371	1004.1306731536175	1017.5215149242262
g1211	158.78465080711183	181.92591883401107	333.0303970262992	101.26040666315232	187.35007649674696	105.87488466112835
g1212	154.81503453693404	164.216316115656	242.9401072532274	127.07188287140684	111.75267720858591	110.71377335679234
g1213	492.2324175020467	431.47032077446875	619.4972734957299	540.0555022034791	440.4370219397209	478.0822031316033
g1214	1069.811584812916	1015.8872104801857	993.0176883975671	1286.6028140729943	1423.2032126858146	1316.5648363162613
